>START_TIME		= 06.09.2017 15:09:37
>END_TIME		= 06.09.2099 23:59:59
>CP_NAME		= Society One For Test
>CP_ADDRESS		= Test Village S
>CP_CODE		= 00012101
>FILE_NAME		= v1
>RATE_FAT_BELOW_MIN	= 0.0
>RATE_SNF_BELOW_MIN	=0.0
>RATE_FAT_SNF_BELOW_MIN =0.0
>VENDOR_RANK=1
>MILK_TYPE=BUFFALO


*FAT,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9
6.9,31.3,31.5,31.69,31.88,32.07,32.26,32.45,32.65,32.84,33.03,33.22,33.41,33.6,33.79,33.99,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6
7,31.59,31.78,31.97,32.17,32.36,32.55,32.74,32.93,33.12,33.32,33.51,33.7,33.89,34.08,34.27,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89
7.1,31.88,32.07,32.26,32.45,32.65,32.84,33.03,33.22,33.41,33.6,33.79,33.99,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18
7.2,32.17,32.36,32.55,32.74,32.93,33.12,33.32,33.51,33.7,33.89,34.08,34.27,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46
7.3,32.45,32.65,32.84,33.03,33.22,33.41,33.6,33.79,33.99,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75
7.4,32.74,32.93,33.12,33.32,33.51,33.7,33.89,34.08,34.27,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04
7.5,33.03,33.22,33.41,33.6,33.79,33.99,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32
7.6,33.32,33.51,33.7,33.89,34.08,34.27,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61
7.7,33.6,33.79,33.99,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9
7.8,33.89,34.08,34.27,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19
7.9,34.18,34.37,34.56,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47
8,34.46,34.66,34.85,35.04,35.23,35.42,35.61,35.8,36,36.19,36.38,36.57,36.76,36.95,37.14,37.34,37.53,37.72,37.91,38.1,38.29,38.48,38.68,38.87,39.06,39.25,39.44,39.63,39.83,40.02,40.21,40.4,40.59,40.78,40.97,41.17,41.36,41.55,41.74,41.93,42.12,42.31,42.51,42.7,42.89,43.08,43.27,43.46,43.65,43.85,44.04,44.23,44.42,44.61,44.8,44.99,45.19,45.38,45.57,45.76
8.1,34.75,34.94,35.13,35.33,35.52,35.71,35.9,36.09,36.28,36.47,36.67,36.86,37.05,37.24,37.43,37.62,37.81,38.01,38.2,38.39,38.58,38.77,38.96,39.15,39.35,39.54,39.73,39.92,40.11,40.3,40.5,40.69,40.88,41.07,41.26,41.45,41.64,41.84,42.03,42.22,42.41,42.6,42.79,42.98,43.18,43.37,43.56,43.75,43.94,44.13,44.32,44.52,44.71,44.9,45.09,45.28,45.47,45.66,45.86,46.05
